Empresa,Estado,Descripcion
DISTRIBUIDORA ARCA CONTINENTA S DE RL DE CV,Saltillo - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
ELECTROLUX HOME PRODUCTS DE MEXICO SA DE CV,Ciudad juarez - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
DULCERIA MIA,Ciudad juarez - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
CORPORATIVO GRAN MILLERS DE MEXICO S DE RL DE CV,San andres cholula - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
DULCERIA MARGARITA,Ajijic - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DULCES DE CALIDAD DE MEXICO SA DE CV,Tijuana - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
DULCES CARIBE,Guadalajara - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
DULCES DE LOS ALTOS,Morelia - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DISTRIBUIDORA CHOMPYS SA DE CV,Guadalajara - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DULCES DEL MAYAB SA DE CV,Merida - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DULCERIA UNICORNIO,Veracruz - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DISTRIBUIDORA PACIFICO Y MODELO DE SANTIAGO,Santiago ixcuintla - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
DI LUCA GELATO E CALE,Morelia - Mexico,"Elaboracion de helados y paletas
Proveedor de:
Alimentacion
Helados y sorbetes
Postres ultracongelados..."
DISTRIBUIDORA MONTOSA DE ORIZABA SA DE CV,Orizaba - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
TECNOLOGIA DEL AGUA ALORA SA DE CV,Tuxtla gutierrez - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
EL CRIADERO,Veracruz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
ENVOLVENTES ELECTRICOS SA DE CV,Puebla (heroica puebla) - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
DISTRIBUIDORA POBLANA DEL SUR SA DE CV,Atlixco - Mexico,"Comercio al por mayor de cerveza
Proveedor de:
Cervezas
Bebidas
Alimentos, bebidas y tabaco (al por mayor)..."
DISTRIBUIDORA PLASTIPAN SA DE CV,Ciudad obregon - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
DISTRIBUIDORA CAMHI SA DE CV,Ciudad de mexico - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DISTRIBUIDORA PAVET S. D R.L.,Tepatitlan de morelos - Mexico,"Servicios veterinarios para la ganaderia prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia"
SCPP COORPERATIVA BAHIA MAGDALENA,La paz - Mexico,"Comercio al por mayor de pescados y mariscos
Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
MORMEN SA DE CV,Morelia - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
CARNIVOROS,Villahermosa - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
MEXICANA Y TRADICION EL TRIGO,Orizaba - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
SUPOLLO SA DE CV,Guadalajara - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
"Semillas y Agroproductos Monsanto, S.A. de C.V., Grupo Monsanto",Estado de mexico - Mexico,"Empresa productora de agroquimicos y biotecnologia destinados a la agricultura
Proveedor de:
Semillas comestibles
Semillas de algarrobo
Semillas de amapola..."
MAGADAN QUIMA DE TLAXCALA S DE RL DE CV,San martin texmelucan de labastida - Mexico,"Comercio al por mayor de vinos y licores
Proveedor de:
Bebidas
Vino
Alimentos, bebidas y tabaco (al por mayor)..."
MARISCOS FAL,Mazatlan - Mexico,"Comercio al por mayor de pescados y mariscos
Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
Eca,Monterrey - Mexico,"Proveedor de:
Madera, productos de madera, maquinaria y equipos para la industria de la madera
Maquinas para serrar la madera
Maquinas taladradoras, mortajadoras y escopleadoras para madera..."
Apolo69 S DE RL DE CV,Monterrey - Mexico,"Equipos para restaurantes, fabricacion de mobiliario de acero inoxidable, fabricacion de barandales, diseno de cocinas, distribucion de equipos para cocinas profesionales.
Proveedor de:
Maquinaria y equipos para la industria alimentaria NES
Maquinaria de lavado para la industria alimenticia
Maquinaria y equipos para panaderia, pasteleria y reposteria..."
"Maquinas y Herramientas Gamex S.A. de C.V., HEGAMEX Equipos",Atotonilco el alto - Mexico,"Fabricante de maquinaria para el movimiento, dosificacion y cribado de diversos materiales como el cemento y sus agregados (Grava, cal, arena, etc), granos, fertilizantes, minerales y mas.Plantas dosificadoras de cemento moviles.Silos para cemento moviles y fijos.Bantras transportadoras.Transportado... Ver su perfil
Proveedor de:
Maquinaria y equipos para fabricas de cemento
Equipos para silos para cemento y cal
Dosificadores para fabricas de cemento y cal..."
Rich Saucer,Guadalupe - Mexico,"Somos una empresa dedicada al servicio de alimentacion industrial y catering empresarial para el personal,manejando todo tipo de servicios y platillos con uno de los costos mas bajos del mercado y con la mejor calidad.
Proveedor de:
Servicios de procesamiento de alimentos"
Michel Andres Reynoard Echavez,Torreon - Mexico,"Empresa productora y comercializadora de salsas.
Proveedor de:
Condimentos y salsas
Salsas picantes"
Itzayan Bonsai,Puebla - Mexico,"Somos una empresa especializada en la fabricacion de macetas para bonsai de ceramica alta temperatura: Bonsayera Exagonal(Rokkaku), Bonsayera Rectangular(Choukaku), Bonsayera Ovalada(Koban), Bonsayera Flor(Anagata), Bonsayera , bonsayera cresta(Mokko)... Ver su perfil
Proveedor de:
Arbustos ornamentales
Macetas"
Industrial RV,El torreon - Mexico,"Fabricacion de productos metalicos, acero inox. y al carbon.Plantas tratadoras de agua residual.
Proveedor de:
Maquinaria y equipos para lecherias
Tanques para la industria lechera
Instalaciones y equipos para el tratamiento de aguas y aguas residuales..."
TIENDA DE DESCUENTO ARTELI SA DECV,Tampico - Mexico,"Corte y empacado de carne de ganado, aves y otros animales comestibles
Proveedor de:
Alimentacion
Productos de matadero, no procesados"
REICON SA DE CV,Minatitlan - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
RAFAEL EUAN RIVERO SA DE CV,Cancun - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
BALESSA SA DE CV,Tlalnepantla de baz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
CONSORCIO DE ARQUITECTURA Y CONSTRUCCION DE MICHOACAN SA DE CV,Morelia - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
COMERCIALIZADORA KRAM SA DE CV,Ciudad de mexico - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
COMERCIALIZADORA LA BAHIA DE MAZATLAN SA DE CV,Coatzacoalcos - Mexico,"Comercio al por mayor de pescados y mariscos
Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
COMERCIALIZADORA LA CAVA SA DE CV,Villahermosa - Mexico,"Comercio al por mayor de vinos y licores
Proveedor de:
Bebidas
Vino
Alimentos, bebidas y tabaco (al por mayor)..."
CONSTRUCTORA TRES CERRITOS SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
ALIANZA ESTRUCTURAS INMOBILIARIAS SA DE CV,Saltillo - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
ARREGUIN INGENIERIA,Chihuahua - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
BODEGAS HACIENDA LA LOMITA S. C. DE R. L. DE C. V.,Ensenada - Mexico,"Elaboracion de bebidas alcoholicas a base de uva
Proveedor de:
Bebidas
Vino"
BAMOA NUTRIENTES DESHIDRATADOS SA DE CV,Guadalajara - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
BODEGAS DE SANTO TOMAS SA DE CV,Ensenada - Mexico,"Elaboracion de bebidas alcoholicas a base de uva
Proveedor de:
Bebidas
Vino"
BODEGAS COPA DE ORO SA DE CV,San pedro cholula - Mexico,"Elaboracion de sidra y otras bebidas fermentadas
Proveedor de:
Bebidas
Sidras"
BODEGA PANIFICADORA,Durango - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
"Bioant, BIOANT",San rafael tenanyecac - Mexico,"Consultoria especializada en estudios de impacto ambiental, aprovechamientos forestales, incubacion y asesoria de empresas privadas, rurales o comunitarias. Gestionamos recursos de instituciones federales. trabajamos con ejidos y municipios gestionando proyectos productivos, realizamos estudios de i... Ver su perfil
Proveedor de:
Servicios de gestion forestal
Administracion forestal
Empresas de trabajos forestales..."
PARTIDA SANDOVAL GABRIELA,Tepic - Mexico,"Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
INGENIERIA AGROPECUARIA APLICADA S.C INGENIERIA AGROPECUARIA APLICADA S.C,Isla - Mexico,"Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
ZUBILLAGA LOO MARIA TERESA,Colima - Mexico,"Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia
Veterinarios especializados en el servicio de mascotas domesticas"
JORDAN GARCIA AZALEA BERENICE,Colima - Mexico,"Proveedor de:
Productos organicos
Productos de plantaciones, cereales y semillas de granjas ecologicas
Frutas y bayas ecologicas..."
PROCESADORA DE TABACOS DE MEXICO S.A DE C.V. PROTAMEX,Tepic - Mexico,"Proveedor de:
Tabaco y productos del tabaco
Alimentacion
Cigarrillos..."
TEQUILA ARETTE DE JALISCO SA DE CV TEQUILA ARETTE,Tequila - Mexico,"Proveedor de:
Aguardientes y bebidas espiritosas
Bebidas
Brandy, de uva..."
CASTILLO MARES ANIA,Zapopan - Mexico,"Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia
Veterinarios especializados en el servicio de mascotas domesticas"
ARCIENEGA MENDOZA FRANCISCO JAVIER,Guadalajara - Mexico,"Proveedor de:
Vegetales de hoja
Agricultura y silvicultura
Ensaladas..."
VALUACIONES TECNICAS PROFESIONALES S A DE C V,Guadalajara - Mexico,"Proveedor de:
Alimentacion
Productos de cacao y chocolate
Chocolates, segun el tipo de envase..."
"ALARPAK, S.A. DE C.V.",Guadalajara - Mexico,"Proveedor de:
Hielo
Bebidas"
TECNOPOLIS SERVICIO ESPECIALIZADO S.A DE C.V,Guadalajara - Mexico,"Proveedor de:
Higiene y limpieza
Maquinas y equipos de lavado, domesticos
Maquinas y equipos de secado, domesticos..."
MARTINEZ ALDANA MARIA DEL ROCIO,Veracruz - Mexico,"Proveedor de:
Alimentacion
Piensos y alimentos para animales
Piensos y cereales para animales..."
HERNANDEZ NAVA BALTAZAR,Chiautempan - Mexico,"Proveedor de:
Higiene y limpieza
Aparatos sanitarios, electricos
Calefaccion, ventilacion, aire acondicionado (HVAC) y equipos de refrigeracion..."
SOCIEDAD COORPORATIVA CASA CUNA DE PESCADORES DEL MUNICIPIO DE ROSAMORADA SOC.COOP. CASA CUNA DE PESCADORES DEL MUNICIP,Rosamorada - Mexico,"Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
COLLAZO HERRERA JUANA,Veracruz - Mexico,"Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Tractores para la agricultura
Maquinas para labrar la tierra, rastrilladores y gradas..."
"BARAH ELECTRIFICACIONES, S.A. DE C.V.",Veracruz - Mexico,"Proveedor de:
Alimentacion
Mataderos
Mataderos para aves de corral..."
"DISTRIBUIDORA PRISMA, S. A. DE C. V. TUPPERWARE",Veracruz - Mexico,"Proveedor de:
Textiles
Servicios de tenido de telas y productos textiles
Tejidos revestidos y encerados..."
IBARRA HURTADO HECTOR GUADALUPE,Guadalajara - Mexico,"Proveedor de:
Alimentacion
Productos de matadero, no procesados
Tripa natural y artificial. Tripa para embutidos..."
ARROZ SOS MEXICO S.A DE C.V,Guadalajara - Mexico,"Proveedor de:
Productos organicos
Productos de plantaciones, cereales y semillas de granjas ecologicas
Frutas y bayas ecologicas..."
HURTADO GONZALEZ MINERVA KARINA,Guadalajara - Mexico,"Proveedor de:
Alimentacion
Productos de matadero, no procesados
Tripa natural y artificial. Tripa para embutidos..."
REYNA BRAVO IMELDA,Guadalajara - Mexico,"Proveedor de:
Alimentacion
Carnes delicatessen
Envasado y enlatado de carnes de corral y de caza..."
MELCHOR MANZO BERTHA ALICIA,Tepatitlan de morelos - Mexico,"Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
CONCEPTOS EMPRENDEDORES SA DE DCV PIZZERIA,Queretaro - Mexico,"Proveedor de:
Productos organicos
Productos de plantaciones, cereales y semillas de granjas ecologicas
Frutas y bayas ecologicas..."
TOLENTINO ALVAREZ PATRICIA,Queretaro - Mexico,"Proveedor de:
Alimentacion
Productos de matadero, no procesados
Tripa natural y artificial. Tripa para embutidos..."
NUTREMISA S.A DE C.V NUTREMISA S.A DE C.V,El pueblito - Mexico,"Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia
Veterinarios especializados en el servicio de mascotas domesticas"
ALVARADO JARQUIN ZAIRA MONICA,Queretaro - Mexico,"Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
OPERADORA TRESVEINTE SA DE CV CENTRO BOTANERO,Queretaro - Mexico,"Proveedor de:
Alimentacion
Snacks salados"
"BRAGA INGENIERIA, S.A. DE C.V.",Xalapa - Mexico,"Proveedor de:
Ganaderia y pesca
Pajaros
Animales domesticos y para parques zoologicos..."
LICORES PATY,Ciudad guzman - Mexico,"Elaboracion de refrescos y otras bebidas no alcoholicas
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Bebidas
Gaseosas en lata..."
PANADERIA ESTRELLA,Nuevo casas grandes - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
PANADERIA LA UNICA,Mazatlan - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
IMPRESIONES INTELIGENTES A BAJO COSTO S A DE C V TINTAS Y TONERS,Queretaro - Mexico,"Proveedor de:
Pasta papelera mecanica y quimica
Papel y carton
Papel y carton, de diseno grafico, para impresion..."
RUIZ ECHEVERRIA PABLO,Morelia - Mexico,"Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia
Veterinarios especializados en el servicio de mascotas domesticas"
COETO NAVARRO CESAR NICOLAS,Queretaro - Mexico,"Proveedor de:
Alimentacion
Tripa natural y artificial. Tripa para embutidos"
SANCHEZ PINEDA FRANCISCO,Morelia - Mexico,"Proveedor de:
Alimentacion
Piensos y alimentos para animales"
RAMIREZ SANCHEZ OMAR,Morelia - Mexico,"Proveedor de:
Ganaderia y pesca
Servicios veterinarios y especializados para la zootecnia
Veterinarios especializados en el servicio de mascotas domesticas"
"TRON HERMANOS, S. A. DE C.V. TRON",Morelia - Mexico,"Proveedor de:
Agricultura y silvicultura
Tuberculos
Tuberculos y rizomas vegetales..."
SOCIEDAD DE PRODUCCION AVICOLA ZURUMBENEO SA DE CV,Morelia - Mexico,"Comercio al por mayor de carne de aves
Proveedor de:
Alimentacion
Procesado de aves y aves de corral
Alimentos, bebidas y tabaco (al por mayor)..."
PALETERIA VENECIA,Chihuahua - Mexico,"Elaboracion de helados y paletas
Proveedor de:
Alimentacion
Helados y sorbetes
Postres ultracongelados..."
PURIFICADORA DE AGUA SPRING,Morelia - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
LODIS,Veracruz - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
VETERINARIA MENCHACA,Chihuahua - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
PORTO ALEGRE,Chihuahua - Mexico,"Proveedor de:
Bebidas
Bebidas enlatadas, embotellas o en otros envases
Gaseosas en lata..."
LAS PALMAS DEL MEDANO SA DE CV THE MEDANO BEACHE CLUB,Los cabos - Mexico,"Proveedor de:
Alimentacion
Productos de cacao y chocolate
Chocolates, segun el tipo de envase..."
"Brother International De Mexico, S.A. De C.V.",Lerma - Mexico,"Proveedor de:
Madera, productos de madera, maquinaria y equipos para la industria de la madera
Maquinas para serrar la madera
Maquinas taladradoras, mortajadoras y escopleadoras para madera..."
MUROS Y RECUBRIMIENTOS DEL NOROESTE MYRNO,Cajeme - Mexico,"Proveedor de:
Madera, productos de madera, maquinaria y equipos para la industria de la madera
Maquinas para serrar la madera
Maquinas taladradoras, mortajadoras y escopleadoras para madera..."
SIGMA ALIMENTOS CONGELADOS S.A DE C.V SIGMA,Linares - Mexico,"Proveedor de:
Alimentacion
Envasado y enlatado de carnes de corral y de caza
Fruta enlatada, en frasco u otros envases / fruta en conserva..."
Martinez Manuel,Chihuahua - Mexico,"Proveedor de:
Agricultura y silvicultura
Plantas para pienso animal
Cereales y pseudo cereales..."
"Santa Clara Productos Lacteos, S.A. De C.V.",Pachuca de soto - Mexico,"Proveedor de:
Alimentacion
Leches
Leche condensada y en polvo..."
SANTA CLARA MERCANTIL DE PACHUCA S.A DE C.V,Pachuca de soto - Mexico,"Proveedor de:
Alimentacion
Leches
Leche condensada y en polvo..."
Cosi,Cuernavaca - Mexico,"Proveedor de:
Productos alimenticios, refrigerados, frescos y ultra-frescos
Alimentacion
Comida y pescado ultracongelado..."
Central,Cuernavaca - Mexico,"Proveedor de:
Alimentacion
Productos alimenticios, refrigerados
Comidas frescas preparadas (refrigeradas)..."
GRUPO PENAFIEL- DR PEPPER SNAPPLE GROUP,Estado de mexico - Mexico,"Distribucion de bebidas.
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Naranjada
Limonada..."
MAYOREO GARAY DE CHIHUAHUA SA DE CV GARAY,Chihuahua - Mexico,"Proveedor de:
Alimentacion
Carnes delicatessen
Envasado y enlatado de carnes de corral y de caza..."
"EMBOTELLADORA AGA DE MEXICO, SA DE CV",Toluca - Mexico,"Proveedor de:
Bebidas
Bebidas enlatadas, embotellas o en otros envases
Gaseosas en lata..."
DISTRIBUIDORA DE LACTEOS DE MORELOS SA DE CV DISTRIBUIDORA DE LACTEOS DE MORELOS SA DE CV,Jiutepec - Mexico,"Proveedor de:
Alimentacion
Leches
Crema..."
Promotora Martel S.A. De C.V.,Monterrey - Mexico,"Proveedor de:
Agricultura y silvicultura
Cereales y pseudo cereales
Maiz..."
"Sabritas, S. de R.L. de C.V.",Estado de mexico - Mexico,"Sabritas S. de R.L. de C.V. es una empresa agroindustrial creada en 1943 y dedicada a la manufactura y distribucion de botanas elaboradas a base de papas y cereales, asi como dulces y confiteria. Forma parte de Grupo Pepsico de Mexico y su nombre se deriva de la contraccion ""Sabrosas y Fritas"".... Ver su perfil
Proveedor de:
Snacks salados
Pappadams
Patatas fritas..."
"LLANTAS GIGANTES Y SERVICIOS PENA, LLANTAS GIGANTES PENA",Guadalupe - Mexico,"Somos una empresa dedicada a la venta y reparacion de llantas de auto, camion, agricolas, industriales y mueve tierra OTR
Proveedor de:
Repuestos y accesorios para equipos agricolas
Llantas para vehiculos agricolas
Maquinaria y equipos para fabricar neumaticos..."
NUEVA WALMART DE MEXICO S. DE RL DE C.V AURRERA,Jiutepec - Mexico,"En Walmart encuentra lo que necesitas a los mejores precios. Lleva una amplia variedad de productos de electronica, hogar, muebles y todo lo que deseas. Ademas puedes hacer el super comprando frutas, verduras, carnes y mariscos para abastecer tu despensa y refrigerador.... Ver su perfil
Proveedor de:
Carnes delicatessen
Mondongo de cerdo
Carne delicatessen, halal..."
NIETO Y CIA,Poza rica - Mexico,"Proveedor de:
Alimentacion
Helados y sorbetes
Polos"
CENTRAL DE SERVICIOS AL COMERCIO EXTERIOR S C CENTRAL DE SERVICIOS AL COMERCIO EXTERIOR SC,Ciudad madero - Mexico,"Proveedor de:
Alimentacion
Piensos y alimentos para animales
Piensos y cereales para animales..."
SERTEK,Monterrey - Mexico,"Proveedor de:
Madera, productos de madera, maquinaria y equipos para la industria de la madera
Maquinas para serrar la madera
Maquinas taladradoras, mortajadoras y escopleadoras para madera..."
KRONES MEX S A DE C V,Monterrey - Mexico,"Proveedor de:
Alimentacion
Cereales preparados para desayunos
Arroz inflado para desayunos"
"CORPORACION SANTA FE, S.A. DE C.V. CPRPORACION SANTE, S.A. DE C.V.",San nicolas de los garza - Mexico,"Proveedor de:
Alimentacion
Leches
Leche no desnatada en polvo"
"EMBOTELLADORAS ARCA, S.A.B. DE C.V.",Monterrey - Mexico,"Arca Continental S.A.B. de C.V. se dedica a la produccion, distribucion y venta de bebidas refrescantes principalmente de las marcas propiedad de ""The Coca-Cola Company"", ademas de marcas propias.
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Naranjada
Limonada..."
Basculas,Monterrey - Mexico,"Proveedor de:
Alimentacion
Cafe y sucedaneos
Granos de cafe, torrefactos..."
Cerveceria Modelo,Santa catarina - Mexico,"Proveedor de:
Alimentacion
Carnes delicatessen
Envasado y enlatado de carnes de corral y de caza..."
COMERCIAL FORRAJERA DE LAGOS SA DE CV,Lagos de moreno - Mexico,"Elaboracion de alimentos para animales
Proveedor de:
Alimentacion
Piensos y alimentos para animales"
REX IRRIGACION VICTORIA S.A.,Ciudad victoria - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
CANDY,Morelia - Mexico,"Elaboracion de tortillas de maiz y molienda de nixtamal
Proveedor de:
Alimentacion
Tortillas, refrigeradas
Productos alimenticios, refrigerados"
SOCIEDAD COOPERTIVA DE TRABAJADORES DE EL MEJOR PAN S.C.L.,Tampico - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
COMERCIALIZADORA NARECI SA DE CV,Ciudad nezahualcoyotl - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CONSULTORIO VETERINARIO RICO,Orizaba - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSULTORIO VETERINARIO AH KIM PECH,Campeche - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSULTORIO VETERINARIO RANGEL,Campeche - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSULTORIO VETERINARIO DOCTOR PETIS,Campeche - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSULTORIO VETERINARIO DEJANDO HUELLA,Orizaba - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CONSULTORIO VETERINARIO ANIMALITOS,Poza rica (poza rica de hidalgo) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CREMERIA LAS FLORES SA DE CV,Aguascalientes - Mexico,"Comercio al por mayor de leche y otros productos lacteos
Proveedor de:
Alimentacion
Leches
Alimentos, bebidas y tabaco (al por mayor)..."
"SOCIEDAD COOPERATIVA LA FLOR DE MEXICO, S.C.L.",Tampico - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
SERVICIOS DE MANOFACTURA Y LOGISTICA ARGALI S DE RL DE CV,Ciudad juarez - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
ALIMENTOS BALANCEADOS Y SERVICIOS INTEGRADOS,Queretaro - Mexico,"Elaboracion de harina de otros productos agricolas
Proveedor de:
Otras harinas que no son de cereales
Alimentacion"
CORPORATIVO AVANTPLUS SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
